Year,Song,Artist,query_idx,channel_artist_same,video_title,video_channel,video_url
1996,노을 속에 비친 그대 모습,H.O.T.,1,True,노을속에 비친 그대 모습 (you belong to me),h.o.t. - topic,https://www.youtube.com/watch?v=H3wsFZJuOhs
1997,미행,JINUSEAN,0,True,미행 (tracing you),jinusean - topic,https://www.youtube.com/watch?v=v10Zig3tRaA
1994,Lucas With the Lid Off,LUCAS,1,True,lucas with the lid off,lucas - topic,https://www.youtube.com/watch?v=ZUU-jMuikGM
1997,Nonsense,S.E.S.,1,True,nonsense,s.e.s. - topic,https://www.youtube.com/watch?v=tPb3bowBHfc
1997,젝키의 크리스마스,SECHSKIES,2,True,sechskies' christmas (젝키의 크리스마스),sechskies,https://www.youtube.com/watch?v=BJZopihFApE
1996,"내가 필요할 때 (소년, 소녀 가장에게)",H.O.T.,0,True,"내가 필요할 때 - 소년,소녀 가장에게 (by your side)",h.o.t. - topic,https://www.youtube.com/watch?v=QiKbZinvkI8
1996,전사의 후예 (폭력시대),H.O.T.,1,True,전사의 후예 (폭력시대) (descent of warriors),h.o.t. - topic,https://www.youtube.com/watch?v=RpGTUmISOyg
1996,너는 FAST 나는 SLOW,H.O.T.,1,True,너는 fast 나는 slow (fast love),h.o.t. - topic,https://www.youtube.com/watch?v=JvGMCmsvMGg
1997,Jinusean Bomb,JINUSEAN,0,True,jinusean bomb ft. legacy,jinusean - topic,https://www.youtube.com/watch?v=8kfBuQV54Kk
1996,오늘도 짜증나는 날이네,H.O.T.,2,True,오늘도 짜증나는 날이네 (the cranky day),h.o.t. - topic,https://www.youtube.com/watch?v=DHNIor6TyII
1997,서로,JINUSEAN,0,True,서로 (to each other),jinusean - topic,https://www.youtube.com/watch?v=5YzQPzxcCKo
1997,그대의 향기,S.E.S.,1,True,그대의 향기,s.e.s. - topic,https://www.youtube.com/watch?v=aynLrFJ-y-8
1996,개성시대,H.O.T.,1,True,개성시대 (x generation),h.o.t. - topic,https://www.youtube.com/watch?v=NIibEg7rrSo
1997,ROCK'n 나라,S.E.S.,1,True,rock'n 나라,s.e.s. - topic,https://www.youtube.com/watch?v=G7bsSRlsV6A
1996,널 사랑한 만큼,H.O.T.,1,True,널 사랑한 만큼 (as much as i loved you),h.o.t. - topic,https://www.youtube.com/watch?v=Wrj4IMBbViY
1997,말해줘,JINUSEAN,0,True,말해줘 (tell me),jinusean - topic,https://www.youtube.com/watch?v=25FlzBfRfFM
1996,CANDY,H.O.T.,1,True,캔디 (candy),h.o.t. - topic,https://www.youtube.com/watch?v=BaQDN_Ex9L4
1997,Gate 1,SECHSKIES,0,True,gate 1 (gate 1),sechskies,https://www.youtube.com/watch?v=f36igOc7kIw
1997,Gate 3,SECHSKIES,6,True,gate 1 (gate 1),sechskies,https://www.youtube.com/watch?v=f36igOc7kIw
1997,GO! H.O.T.!,H.O.T.,0,True,go ! h.o.t. !,h.o.t. - topic,https://www.youtube.com/watch?v=c5M0ILNG_A8
1997,Gate 2,SECHSKIES,2,True,gate 2 (gate 2),sechskies,https://www.youtube.com/watch?v=d2kD_2fsfgA
1997,탈출,SECHSKIES,2,True,exodus (탈출),sechskies,https://www.youtube.com/watch?v=4jfoCrYw2G4
1997,추억,박지윤,3,True,고백 confession,박지윤  parkjiyoon official,https://www.youtube.com/watch?v=xnNWoflYkpU
1997,('Cause) I'm Your Girl,S.E.S.,2,False,"s.e.s - ""i'm your girl"" lyrics [color coded han/rom/eng]",ksector,https://www.youtube.com/watch?v=FdeGnQqw_To
1997,TRAGEDY,H.O.T.,0,True,tragedy,h.o.t. - topic,https://www.youtube.com/watch?v=NyztTQN7JFU
1997,애상,박지윤,7,True,환상,박지윤  parkjiyoon official,https://www.youtube.com/watch?v=3RN2Oer_5EY
1997,12번째 생일 Lost 12th birthday,H.O.T.,0,True,12번째 생일 (lost 12th birthday),h.o.t. - topic,https://www.youtube.com/watch?v=kVUWwl9Z5cU
1997,확인,SECHSKIES,1,True,check (확인),sechskies,https://www.youtube.com/watch?v=20exddCIowQ
1997,Good-Bye,S.E.S.,1,True,good-bye,s.e.s. - topic,https://www.youtube.com/watch?v=ZBafldEbSNc
1997,멀리있는 너에게,박지윤,9,True,날 기다려준 그대곁에 (feat. noel),박지윤  parkjiyoon official,https://www.youtube.com/watch?v=dVcYCHuppxs
1997,하늘색 꿈,박지윤,6,False,"park ji yoon (박지윤) - ""steal away (스틸어웨이)"" lyrics [color coded han/rom/eng]",ksector,https://www.youtube.com/watch?v=znGc-MXHYTI
1997,Young Nation,JINUSEAN,0,True,"young nation ft. yang hyunsuk, d.o",jinusean - topic,https://www.youtube.com/watch?v=vWruvSu8FLY
1997,하얀밤에,SECHSKIES,1,True,white night (하얀밤에),sechskies,https://www.youtube.com/watch?v=Arrp0k-KxeA
1997,Outro,SECHSKIES,1,True,outro (outro),sechskies,https://www.youtube.com/watch?v=_kbxW0YLFhc
1997,Love,SECHSKIES,1,True,love (연정 (戀情)),sechskies,https://www.youtube.com/watch?v=DsQaYBXbgW8
1997,Paty Time,SECHSKIES,0,True,party time (party time),sechskies,https://www.youtube.com/watch?v=WmqUzqVJ5CM
1997,동급생,SECHSKIES,1,True,classmate (동급생),sechskies,https://www.youtube.com/watch?v=JyI4gj3QyBc
1997,말괄량이 길들이기,SECHSKIES,2,True,the taming of the shrew (말괄량이 길들이기),sechskies,https://www.youtube.com/watch?v=lz9dRdTJqfo
1997,겨울편지,SECHSKIES,1,True,winter letter (겨울편지),sechskies,https://www.youtube.com/watch?v=zSm1EIf38c8
1997,기사도,SECHSKIES,1,True,chivalry (기사도),sechskies,https://www.youtube.com/watch?v=Iy9PO7tetQw
1997,다같이 해요,SECHSKIES,1,True,come on (다같이 해요),sechskies,https://www.youtube.com/watch?v=Rqw863nz4P0
1997,거절의 이유,SECHSKIES,2,True,reasons for refusal (거절의 이유),sechskies,https://www.youtube.com/watch?v=j2CsNubuI3Y
1997,사나이 가는 길 (부제:폼생폼사),SECHSKIES,6,False,사나이 가는 길 (부제:폼생폼사) - 젝스키스 (가사ㅇ) 1997,감성충만 쪼디 쪼dj,https://www.youtube.com/watch?v=v4HzE8NS7d0
1997,미성년자 관람불가,SECHSKIES,1,True,not available for minors (미성년자 관람불가),sechskies,https://www.youtube.com/watch?v=JK2qF870KTc
1997,돌연변이,SECHSKIES,1,True,mutation (돌연변이),sechskies,https://www.youtube.com/watch?v=i7FXXfLaRBs
1997,배신감,SECHSKIES,2,True,bad girl (배신감),sechskies,https://www.youtube.com/watch?v=nG0lN_H1NIQ
1997,사랑 신고식,SECHSKIES,3,True,love announcement (사랑 신고식),sechskies,https://www.youtube.com/watch?v=CMJRpk0Fwd0
1997,미인추방,SECHSKIES,2,True,beauty deportation (미인추방),sechskies,https://www.youtube.com/watch?v=Rck-E4zLJS8
1997,기억해 줄래,SECHSKIES,2,True,remember me (기억해 줄래),sechskies,https://www.youtube.com/watch?v=fSpAFYgYnaQ
1997,Walking in the Rain,SECHSKIES,0,True,walking in the rain (walking in the rain),sechskies,https://www.youtube.com/watch?v=iSYCOd-uiLY
1997,사랑하는 너에게,SECHSKIES,2,True,i love you (사랑하는 너에게),sechskies,https://www.youtube.com/watch?v=3gMsacdjBhU
1997,We are the future,H.O.T.,0,True,we are the future,h.o.t. - topic,https://www.youtube.com/watch?v=jvN8q1zrAWc
1997,너와 나 You & I,H.O.T.,0,True,너와 나 (you & i),h.o.t. - topic,https://www.youtube.com/watch?v=nvLIgk54HpU
1997,늑대와 양 Wolf & Sheep,H.O.T.,0,True,늑대와 양 (wolf & sheep),h.o.t. - topic,https://www.youtube.com/watch?v=eVI3VKvbwsQ
1997,열등감 The end of my inferiority complex,H.O.T.,0,True,열등감 (the end of my inferiority complex),h.o.t. - topic,https://www.youtube.com/watch?v=FPjo2HbgwYg
1997,행복 Full of happiness,H.O.T.,8,True,h.o.t. - '행복 (full of happiness)' tv가요 20 19970907,from h.o.t.,https://www.youtube.com/watch?v=XnRgG5w_ObY
1997,For You,SECHSKIES,8,True,sechskies - the 1st mini album 'all for you' jacket mood film,sechskies,https://www.youtube.com/watch?v=iTLCVzJemNM
1997,Celebrate,JINUSEAN,7,True,서로 (to each other),jinusean - topic,https://www.youtube.com/watch?v=5YzQPzxcCKo
1997,Dream Comes True,SECHSKIES,0,True,dream comes true (dream comes true),sechskies,https://www.youtube.com/watch?v=Xx7iRExR5xU
1997,완전한 이유,S.E.S.,1,True,완전한 이유,s.e.s. - topic,https://www.youtube.com/watch?v=uThVpgTWGG4
1997,자유롭게 날 수 있도록 Free to fly,H.O.T.,0,True,자유롭게 날수 있도록 (free to fly),h.o.t. - topic,https://www.youtube.com/watch?v=qFXPyxD2IwA
1997,오늘이 지나면,S.E.S.,1,True,오늘이 지나면,s.e.s. - topic,https://www.youtube.com/watch?v=W0me7wMzji0
1997,친구,S.E.S.,1,True,친구,s.e.s. - topic,https://www.youtube.com/watch?v=Swr8RSJCIA4
1997,내가,JINUSEAN,0,True,내가 (i will),jinusean - topic,https://www.youtube.com/watch?v=WNsHA5Mr80U
1998,나쁜 여자,G.O.D,0,False,지오디(god) 나쁜여자 (가사 첨부),hankook nore,https://www.youtube.com/watch?v=KJVCKjBFeHo
1998,난 너에게,G.O.D,0,False,지오디(god) 난 너에게 (가사 첨부),hankook nore,https://www.youtube.com/watch?v=NpS3WAsX5nw
1997,Gasoline,JINUSEAN,2,True,gasoline,jinusean - topic,https://www.youtube.com/watch?v=DRXZt6ByHwg
1998,니가 다시 돌아올 수 있도록,g.o.d,0,True,so you can come back to me (니가 다시 돌아올 수 있도록) (prod. yoon kye sang)...,g.o.d - topic,https://www.youtube.com/watch?v=J77VbiOevbU
1998,날 기다려줘,G.O.D,4,True,날 기다려줘 (날 기다려줘),g.o.d - topic,https://www.youtube.com/watch?v=MSUTG25PqsY
1998,난 너에게,g.o.d,0,False,지오디(god) 난 너에게 (가사 첨부),hankook nore,https://www.youtube.com/watch?v=NpS3WAsX5nw
1998,날 기다려줘,g.o.d,4,True,날 기다려줘 (날 기다려줘),g.o.d - topic,https://www.youtube.com/watch?v=MSUTG25PqsY
1998,어머님께,g.o.d,0,False,god(지오디) - 어머님께 [가사/lyrics],웅키,https://www.youtube.com/watch?v=XqExbtyrbs0
1998,유혹,Fin.K.L,2,False,핑클 유혹 (가사 첨부),hankook nore,https://www.youtube.com/watch?v=Oudp9U3CgI4
